DTUTC,QC
17-Nov-2020 20:40:00,1
17-Nov-2020 20:45:00,1
17-Nov-2020 20:50:00,1
17-Nov-2020 20:55:00,1
17-Nov-2020 21:00:00,1
22-Jan-2021 18:25:00,1
22-Jan-2021 18:30:00,1
10-Feb-2021 18:45:00,1
19-Mar-2021 17:15:00,1
11-Aug-2021 22:05:00,1
11-Aug-2021 22:10:00,1
11-Aug-2021 22:15:00,1
27-Aug-2021 18:05:00,1
27-Aug-2021 18:10:00,1
24-Sep-2021 20:05:00,1
24-Sep-2021 20:10:00,1
24-Sep-2021 20:15:00,1
15-Oct-2021 17:55:00,1
15-Oct-2021 18:00:00,1
15-Oct-2021 18:05:00,1
15-Oct-2021 18:10:00,1
15-Nov-2021 23:30:00,1
15-Nov-2021 23:35:00,1
13-Dec-2021 18:50:00,1
13-Dec-2021 18:55:00,1
13-Dec-2021 19:00:00,1
13-Dec-2021 19:05:00,1
07-Jan-2022 20:10:00,1
07-Jan-2022 20:15:00,1
07-Jan-2022 20:20:00,1
07-Jan-2022 20:25:00,1
07-Jan-2022 20:30:00,1
07-Jan-2022 20:35:00,1
26-Jan-2022 20:00:00,1
26-Jan-2022 20:05:00,1
26-Jan-2022 20:10:00,1
26-Jan-2022 20:15:00,1
09-Mar-2022 18:15:00,1
09-Mar-2022 18:20:00,1
24-Mar-2022 17:35:00,1
24-Mar-2022 17:40:00,1
24-Mar-2022 17:45:00,1
24-Mar-2022 17:50:00,1
08-Apr-2022 19:15:00,1
08-Apr-2022 19:20:00,1
08-Apr-2022 19:25:00,1
08-Apr-2022 19:30:00,1
08-Apr-2022 19:35:00,1
08-Apr-2022 19:40:00,1
04-Aug-2022 17:40:00,1
04-Aug-2022 17:45:00,1
04-Aug-2022 17:50:00,1
04-Aug-2022 17:55:00,1
04-Aug-2022 18:00:00,1
20-Sep-2022 17:15:00,1
20-Sep-2022 17:20:00,1
20-Sep-2022 17:25:00,1
21-Oct-2022 18:30:00,1
21-Oct-2022 18:35:00,1
21-Oct-2022 18:40:00,1
09-Dec-2022 19:15:00,2
09-Dec-2022 19:20:00,1
09-Dec-2022 19:25:00,1
09-Dec-2022 19:30:00,1
09-Dec-2022 19:35:00,2
08-Feb-2023 23:00:00,2
08-Feb-2023 23:05:00,1
08-Feb-2023 23:10:00,1
08-Feb-2023 23:15:00,1
08-Mar-2023 17:50:00,1
08-Mar-2023 17:55:00,1
07-Apr-2023 22:50:00,1
07-Apr-2023 22:55:00,1
03-May-2023 17:50:00,2
03-May-2023 17:55:00,1
03-May-2023 18:00:00,1
03-May-2023 18:05:00,1
03-May-2023 18:10:00,2
03-May-2023 18:15:00,2
03-May-2023 18:20:00,2
03-May-2023 18:25:00,2
03-May-2023 18:30:00,2
09-Jun-2023 17:30:00,2
09-Jun-2023 17:35:00,1
09-Jun-2023 17:40:00,1
09-Jun-2023 17:45:00,1
09-Jun-2023 17:50:00,1
09-Jun-2023 17:55:00,1
09-Jun-2023 18:00:00,2
30-Jun-2023 18:15:00,1
30-Jun-2023 18:20:00,1
30-Jun-2023 18:25:00,1
07-Aug-2023 20:35:00,1
07-Aug-2023 20:40:00,1
07-Aug-2023 20:45:00,1
07-Aug-2023 20:50:00,1
01-Sep-2023 19:15:00,1
01-Sep-2023 19:20:00,1
01-Sep-2023 19:25:00,1
20-Sep-2023 19:00:00,2
20-Sep-2023 19:05:00,1
20-Sep-2023 19:10:00,1
20-Sep-2023 19:15:00,1
20-Sep-2023 19:20:00,1
20-Sep-2023 19:25:00,1
20-Sep-2023 19:30:00,1
20-Sep-2023 19:35:00,1
20-Sep-2023 19:40:00,1
20-Sep-2023 19:45:00,1
20-Sep-2023 19:50:00,1
20-Sep-2023 19:55:00,1
20-Sep-2023 20:00:00,1
20-Sep-2023 20:05:00,1
20-Sep-2023 20:10:00,2
01-Nov-2023 20:45:00,1
01-Nov-2023 20:50:00,1
01-Nov-2023 20:55:00,1
06-Dec-2023 17:45:00,1
06-Dec-2023 17:50:00,1
06-Dec-2023 17:55:00,1
17-Jan-2024 20:10:00,2
17-Jan-2024 20:15:00,1
17-Jan-2024 20:20:00,1
17-Jan-2024 20:25:00,1
17-Jan-2024 20:30:00,1
17-Jan-2024 20:35:00,2
16-Feb-2024 20:50:00,2
16-Feb-2024 20:55:00,1
16-Feb-2024 21:00:00,1
18-Mar-2024 18:50:00,2
18-Mar-2024 18:55:00,1
18-Mar-2024 19:00:00,1
18-Mar-2024 19:05:00,2
